Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,34.0,13.0,10.0,5.0,5.0,11.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,529.0,466.0,470.0,342.0,269.0,246.0,228.0,194.0,223.0,141.0,1.0,4.0,3.0,5.0
1706401,Buxoro shahri,Город Бухара,Bukhara city,114.0,98.0,100.0,53.0,34.0,46.0,45.0,27.0,38.0,25.0,0.0,1.0,0.0,0.0
1706403,Kogon shahri,Город Каган,Kagan city,19.0,14.0,18.0,15.0,3.0,6.0,4.0,6.0,3.0,4.0,0.0,0.0,0.0,1.0
1706204,Olot tumani,Алатский район,Alat district,33.0,35.0,30.0,24.0,14.0,12.0,13.0,17.0,9.0,7.0,0.0,1.0,0.0,0.0
1706207,Buxoro tumani,Бухарский район,Bukhara district,57.0,39.0,53.0,29.0,32.0,24.0,21.0,11.0,20.0,13.0,0.0,0.0,0.0,0.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,26.0,21.0,21.0,9.0,8.0,5.0,9.0,6.0,13.0,4.0,0.0,0.0,0.0,0.0
1706215,G‘ijduvontumani,Гиждуванский район,Gijduvan district,101.0,85.0,97.0,79.0,74.0,55.0,61.0,57.0,48.0,32.0,0.0,1.0,0.0,0.0
1706219,Kogon tumani,Каганский район,Kagan district,21.0,17.0,14.0,7.0,8.0,5.0,7.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0
1706230,Qorako‘l tumani,Каракульский район,Karakul district,46.0,40.0,43.0,48.0,30.0,36.0,19.0,28.0,25.0,20.0,0.0,0.0,0.0,2.0
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,2.0,5.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1706240,Peshku tumani,Пешкунский  район,Peshkun district,11.0,15.0,9.0,12.0,5.0,7.0,11.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0
1706242,Romitan tumani,Ромитанский район,Romitan district,38.0,32.0,33.0,22.0,20.0,16.0,8.0,7.0,9.0,4.0,0.0,0.0,0.0,0.0
1706246,Jondor tumani,Жондоpский район,Jondor  district,28.0,42.0,26.0,29.0,25.0,25.0,18.0,17.0,17.0,14.0,0.0,0.0,3.0,1.0
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,33.0,23.0,25.0,13.0,16.0,9.0,10.0,9.0,22.0,9.0,0.0,1.0,0.0,1.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,205.0,177.0,159.0,104.0,61.0,73.0,35.0,49.0,76.0,81.0,10.0,8.0,12.0,5.0
1708401,Jizzax shahri,Город Джизак,Jizzakh city,33.0,34.0,33.0,18.0,13.0,10.0,5.0,12.0,13.0,12.0,1.0,1.0,2.0,0.0
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,16.0,14.0,16.0,8.0,9.0,13.0,1.0,9.0,14.0,19.0,2.0,3.0,0.0,0.0
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,23.0,14.0,14.0,18.0,7.0,4.0,4.0,2.0,10.0,8.0,2.0,1.0,4.0,1.0
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,50.0,40.0,33.0,19.0,7.0,17.0,11.0,9.0,7.0,16.0,0.0,0.0,2.0,1.0
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,7.0,11.0,10.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0
1708218,Zomin tumani,Зааминский район,Zomin district,29.0,19.0,11.0,11.0,6.0,10.0,5.0,6.0,10.0,11.0,3.0,1.0,1.0,1.0
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,6.0,9.0,6.0,5.0,2.0,4.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,2.0
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,4.0,3.0,7.0,5.0,6.0,4.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,12.0,9.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,11.0,6.0,11.0,3.0,5.0,1.0,2.0,3.0,7.0,9.0,0.0,0.0,1.0,0.0
1708235,Forish tumani,Фаришский район,Farish district,10.0,11.0,9.0,8.0,2.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
