Names,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Category
Romitan district,38.0,32.0,33.0,22.0,20.0,16.0,8.0,7.0,9.0,4.0,0.0,0.0,0.0,0.0,District
Jondor  district,28.0,42.0,26.0,29.0,25.0,25.0,18.0,17.0,17.0,14.0,0.0,0.0,3.0,1.0,District
Shafirkan district,33.0,23.0,25.0,13.0,16.0,9.0,10.0,9.0,22.0,9.0,0.0,1.0,0.0,1.0,District
Jizzakh region,205.0,177.0,159.0,104.0,61.0,73.0,35.0,49.0,76.0,81.0,10.0,8.0,12.0,5.0,Region
Jizzakh city,33.0,34.0,33.0,18.0,13.0,10.0,5.0,12.0,13.0,12.0,1.0,1.0,2.0,0.0,City
Arnasay district,3.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,District
Bakhmal district,16.0,14.0,16.0,8.0,9.0,13.0,1.0,9.0,14.0,19.0,2.0,3.0,0.0,0.0,District
Gallaaral district,23.0,14.0,14.0,18.0,7.0,4.0,4.0,2.0,10.0,8.0,2.0,1.0,4.0,1.0,District
Sharof Rashidov  district,50.0,40.0,33.0,19.0,7.0,17.0,11.0,9.0,7.0,16.0,0.0,0.0,2.0,1.0,District
Dustlik district,7.0,11.0,10.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,District
Zomin district,29.0,19.0,11.0,11.0,6.0,10.0,5.0,6.0,10.0,11.0,3.0,1.0,1.0,1.0,District
Zarbdar district,6.0,9.0,6.0,5.0,2.0,4.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,2.0,District
Mirzachul district,4.0,3.0,7.0,5.0,6.0,4.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,District
Zafarabad district,12.0,9.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,District
Pakhtakor district,11.0,6.0,11.0,3.0,5.0,1.0,2.0,3.0,7.0,9.0,0.0,0.0,1.0,0.0,District
Farish district,10.0,11.0,9.0,8.0,2.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,District
Yangiabad district,1.0,3.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,District
Kashkadarya region,553.0,129.0,396.0,795.0,602.0,738.0,512.0,810.0,642.0,296.0,2.0,3.0,0.0,8.0,Region
Karshi city,78.0,21.0,44.0,76.0,35.0,65.0,35.0,29.0,36.0,26.0,0.0,0.0,0.0,0.0,City
Shakhrisabz city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,0.0,0.0,0.0,1.0,City
Kukdala district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,District
Gissar district,12.0,2.0,19.0,17.0,14.0,21.0,18.0,19.0,19.0,11.0,0.0,1.0,0.0,0.0,District
Dehkanabad district,10.0,3.0,6.0,6.0,11.0,13.0,13.0,15.0,16.0,8.0,0.0,0.0,0.0,1.0,District
Kamashi district,21.0,7.0,19.0,48.0,31.0,42.0,37.0,59.0,42.0,31.0,0.0,1.0,0.0,1.0,District
Karshi district,29.0,9.0,20.0,35.0,25.0,16.0,12.0,31.0,31.0,13.0,0.0,0.0,0.0,0.0,District
Kasan district,70.0,13.0,50.0,76.0,74.0,68.0,54.0,73.0,77.0,38.0,0.0,0.0,0.0,0.0,District
Kitab district,106.0,15.0,54.0,136.0,96.0,123.0,98.0,165.0,115.0,36.0,0.0,0.0,0.0,0.0,District
Mirishkor district,16.0,7.0,23.0,21.0,19.0,23.0,12.0,11.0,22.0,13.0,1.0,1.0,0.0,1.0,District
Mubarek district,8.0,4.0,10.0,6.0,6.0,9.0,4.0,11.0,9.0,6.0,0.0,0.0,0.0,0.0,District
Nishon district,15.0,2.0,10.0,13.0,7.0,8.0,7.0,8.0,10.0,8.0,0.0,0.0,0.0,0.0,District
Kasbi district,29.0,3.0,27.0,32.0,18.0,27.0,22.0,24.0,21.0,8.0,0.0,0.0,0.0,3.0,District
Chirakchi district,75.0,19.0,48.0,226.0,160.0,204.0,148.0,274.0,151.0,55.0,1.0,0.0,0.0,0.0,District
Shakhrisabz district,69.0,18.0,41.0,67.0,66.0,70.0,30.0,56.0,40.0,12.0,0.0,0.0,0.0,1.0,District
Yakkabag district,15.0,6.0,25.0,36.0,40.0,49.0,22.0,35.0,27.0,15.0,0.0,0.0,0.0,0.0,District
Navoi region,195.0,157.0,157.0,104.0,89.0,66.0,28.0,32.0,35.0,16.0,1.0,6.0,3.0,5.0,Region
Navoi city,19.0,26.0,25.0,19.0,8.0,10.0,5.0,3.0,6.0,3.0,0.0,1.0,0.0,1.0,City
Zarafshan city,22.0,15.0,15.0,6.0,5.0,5.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,City
Gazgan city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City
Kanimekh district,10.0,4.0,6.0,8.0,10.0,5.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,District
Kyzyltepa district,31.0,19.0,19.0,13.0,11.0,10.0,5.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,District
Navbahor district,29.0,23.0,13.0,13.0,13.0,4.0,5.0,5.0,5.0,2.0,0.0,3.0,1.0,0.0,District
Karmana district,45.0,31.0,35.0,20.0,16.0,11.0,3.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,District
Nurota district,10.0,12.0,8.0,6.0,8.0,6.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,District
Tomdy district,4.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,District
Uchkuduk district,11.0,7.0,11.0,6.0,6.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,District
Khatyrchi district,14.0,18.0,24.0,11.0,9.0,11.0,2.0,2.0,4.0,4.0,0.0,0.0,2.0,1.0,District
Namangan region,1097.0,1073.0,826.0,682.0,486.0,427.0,115.0,214.0,261.0,292.0,3.0,4.0,1.0,1.0,Region
Namangan city,626.0,614.0,525.0,368.0,302.0,276.0,69.0,138.0,172.0,198.0,1.0,1.0,0.0,1.0,City
Mingbulak district,6.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,District
Kasansay district,150.0,162.0,109.0,116.0,71.0,52.0,9.0,29.0,37.0,34.0,0.0,0.0,0.0,0.0,District
Namangan district,115.0,99.0,56.0,55.0,34.0,33.0,3.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,District
Naryn district,9.0,10.0,3.0,3.0,0.0,1.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,District
Pop district,20.0,41.0,31.0,34.0,28.0,20.0,10.0,9.0,15.0,11.0,0.0,1.0,0.0,0.0,District
Turakurgan district,30.0,15.0,9.0,1.0,2.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,District
Uychi district,45.0,47.0,32.0,42.0,22.0,21.0,7.0,11.0,15.0,8.0,0.0,0.0,0.0,0.0,District
Uchkurgan district,17.0,13.0,8.0,7.0,5.0,4.0,2.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,District
Chartak district,21.0,21.0,15.0,18.0,7.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,District
Chust district,25.0,16.0,23.0,20.0,6.0,7.0,3.0,2.0,6.0,3.0,0.0,0.0,1.0,0.0,District
Yangikurgan district,33.0,31.0,10.0,18.0,8.0,7.0,5.0,10.0,8.0,11.0,2.0,1.0,0.0,0.0,District
Samarkand region,1405.0,1096.0,1846.0,1193.0,1323.0,1414.0,1368.0,1564.0,1742.0,953.0,11.0,9.0,5.0,7.0,Region
Samarkand city,187.0,239.0,357.0,240.0,242.0,267.0,221.0,238.0,284.0,176.0,1.0,2.0,0.0,0.0,City
Kattaqo'rg'on city,65.0,50.0,59.0,75.0,50.0,45.0,41.0,34.0,50.0,38.0,0.0,0.0,0.0,0.0,City
Akdarya district,39.0,32.0,56.0,33.0,33.0,51.0,37.0,49.0,58.0,32.0,0.0,0.0,0.0,0.0,District
Bulungur district,27.0,21.0,40.0,17.0,23.0,26.0,20.0,24.0,30.0,16.0,1.0,2.0,2.0,0.0,District
Jomboy district,36.0,36.0,47.0,54.0,30.0,47.0,42.0,33.0,44.0,22.0,0.0,1.0,0.0,0.0,District
Ishtykhan district,44.0,37.0,72.0,46.0,36.0,46.0,37.0,57.0,91.0,30.0,1.0,0.0,0.0,0.0,District
Kattakurgan district,144.0,91.0,188.0,92.0,88.0,113.0,123.0,114.0,159.0,72.0,0.0,0.0,0.0,1.0,District
Koshrabad district,10.0,7.0,15.0,6.0,4.0,1.0,6.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,District
Narpai district,78.0,38.0,96.0,50.0,67.0,67.0,48.0,60.0,73.0,33.0,0.0,0.0,0.0,1.0,District
Payaryk district,87.0,29.0,72.0,28.0,36.0,32.0,27.0,77.0,71.0,39.0,1.0,0.0,0.0,0.0,District
Pastdargom district,90.0,96.0,127.0,98.0,90.0,104.0,83.0,129.0,163.0,75.0,3.0,1.0,0.0,1.0,District
Pakhtachi district,21.0,18.0,29.0,15.0,15.0,12.0,14.0,21.0,14.0,7.0,0.0,0.0,0.0,0.0,District
Samarkand district,177.0,106.0,173.0,74.0,151.0,124.0,151.0,158.0,211.0,128.0,0.0,1.0,0.0,0.0,District
Nurabad district,44.0,23.0,36.0,18.0,17.0,30.0,31.0,35.0,24.0,20.0,0.0,0.0,0.0,1.0,District
Urgut district,323.0,247.0,406.0,304.0,409.0,398.0,449.0,457.0,368.0,240.0,3.0,2.0,3.0,3.0,District
Tailak district,33.0,26.0,73.0,43.0,32.0,51.0,38.0,71.0,79.0,25.0,1.0,0.0,0.0,0.0,District
Surkhandarya region,391.0,126.0,638.0,460.0,222.0,317.0,241.0,342.0,352.0,238.0,21.0,26.0,21.0,10.0,Region
Termiz  city,19.0,6.0,20.0,13.0,10.0,18.0,6.0,16.0,22.0,13.0,0.0,2.0,0.0,0.0,City
Altynsay district,19.0,23.0,35.0,22.0,10.0,21.0,23.0,34.0,32.0,20.0,0.0,0.0,0.0,0.0,District
Angor district,7.0,2.0,17.0,12.0,8.0,9.0,8.0,10.0,8.0,4.0,2.0,1.0,0.0,2.0,District
Bandykhan district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,District
Baysun district,49.0,18.0,26.0,19.0,5.0,14.0,7.0,9.0,8.0,3.0,0.0,0.0,0.0,1.0,District
Muzrabad district,1.0,5.0,26.0,14.0,7.0,11.0,7.0,7.0,1.0,4.0,2.0,1.0,1.0,0.0,District
Denau district,104.0,24.0,166.0,141.0,65.0,71.0,63.0,106.0,102.0,70.0,2.0,2.0,4.0,2.0,District
Jarkurgan district,21.0,5.0,37.0,21.0,7.0,14.0,10.0,21.0,17.0,18.0,0.0,1.0,3.0,0.0,District
Kumkurgan district,46.0,12.0,36.0,20.0,7.0,20.0,13.0,15.0,23.0,18.0,0.0,0.0,1.0,1.0,District
Kizirik district,16.0,5.0,20.0,20.0,3.0,7.0,6.0,9.0,9.0,11.0,2.0,1.0,1.0,0.0,District
Sariosia district,32.0,3.0,92.0,84.0,43.0,63.0,35.0,46.0,53.0,36.0,6.0,11.0,5.0,2.0,District
Termiz district,5.0,2.0,18.0,13.0,3.0,5.0,6.0,5.0,7.0,4.0,1.0,1.0,0.0,0.0,District
Uzun district,38.0,15.0,62.0,24.0,21.0,24.0,23.0,21.0,22.0,12.0,4.0,2.0,6.0,2.0,District
Sherabad district,23.0,4.0,32.0,24.0,13.0,13.0,9.0,16.0,22.0,12.0,1.0,0.0,0.0,0.0,District
Shurchi district,11.0,2.0,51.0,33.0,20.0,27.0,25.0,27.0,26.0,13.0,0.0,3.0,0.0,0.0,District
Syrdarya region,169.0,168.0,125.0,114.0,86.0,64.0,61.0,53.0,62.0,57.0,12.0,3.0,10.0,7.0,Region
Gulistan city,75.0,54.0,46.0,40.0,13.0,12.0,13.0,9.0,8.0,9.0,1.0,0.0,3.0,1.0,City
Shirin city,4.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,City
Yangier city,6.0,10.0,5.0,3.0,6.0,2.0,4.0,5.0,6.0,6.0,1.0,0.0,0.0,0.0,City
Akaltyn  district,4.0,4.0,5.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,District
Bayaut district,11.0,15.0,7.0,9.0,9.0,9.0,6.0,2.0,4.0,5.0,2.0,0.0,0.0,0.0,District
Saykhunabad district,14.0,19.0,7.0,11.0,10.0,12.0,7.0,13.0,10.0,14.0,3.0,1.0,3.0,0.0,District
Gulistan district,5.0,3.0,0.0,1.0,7.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,District
Sardoba district,3.0,6.0,3.0,3.0,3.0,3.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,District
Mirzaabad district,3.0,2.0,1.0,1.0,8.0,4.0,3.0,1.0,5.0,2.0,0.0,1.0,0.0,2.0,District
Syrdarya district,30.0,42.0,34.0,26.0,21.0,14.0,16.0,8.0,20.0,11.0,1.0,0.0,2.0,1.0,District
Khovos district,14.0,9.0,15.0,15.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,0.0,2.0,1.0,District
Tashkent region,598.0,639.0,546.0,407.0,358.0,280.0,220.0,175.0,242.0,142.0,14.0,9.0,9.0,3.0,Region
Nurafshan city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,City
Almalyk city,27.0,24.0,13.0,10.0,3.0,11.0,8.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0,City
Angren city,47.0,44.0,58.0,33.0,39.0,17.0,17.0,9.0,15.0,7.0,1.0,3.0,0.0,0.0,City
Bekabad city,37.0,38.0,19.0,21.0,15.0,11.0,9.0,5.0,8.0,4.0,0.0,0.0,3.0,1.0,City
Chirchik city,23.0,23.0,19.0,10.0,16.0,13.0,14.0,6.0,11.0,6.0,0.0,2.0,1.0,1.0,City
Akhangaran city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,City
Yangiyul city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,1.0,City
Akkurgan district,30.0,30.0,20.0,10.0,14.0,12.0,9.0,4.0,11.0,8.0,0.0,0.0,0.0,0.0,District
Akhangaran district,16.0,16.0,17.0,23.0,9.0,7.0,5.0,8.0,3.0,3.0,4.0,0.0,0.0,0.0,District
Bekabad district,41.0,44.0,31.0,26.0,12.0,14.0,11.0,6.0,6.0,9.0,0.0,2.0,0.0,0.0,District
Bostanlyk district,24.0,40.0,29.0,10.0,22.0,26.0,15.0,10.0,14.0,5.0,0.0,0.0,1.0,0.0,District
Buka district,27.0,29.0,27.0,26.0,24.0,18.0,15.0,18.0,25.0,9.0,1.0,1.0,0.0,0.0,District
Kuyichirchik district,35.0,26.0,19.0,22.0,13.0,14.0,10.0,12.0,12.0,5.0,0.0,0.0,0.0,0.0,District
Zangiata district,83.0,89.0,93.0,66.0,53.0,36.0,37.0,22.0,13.0,13.0,2.0,0.0,0.0,0.0,District
Yukorichirchik district,27.0,39.0,46.0,24.0,19.0,12.0,12.0,13.0,8.0,10.0,0.0,0.0,0.0,0.0,District
Kibray district,31.0,31.0,17.0,18.0,10.0,15.0,11.0,8.0,16.0,5.0,1.0,1.0,0.0,0.0,District
Parkent district,18.0,12.0,16.0,12.0,13.0,7.0,10.0,8.0,2.0,3.0,0.0,0.0,1.0,0.0,District
Piskent district,9.0,9.0,7.0,3.0,2.0,5.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,District
Urtachirchik district,35.0,39.0,38.0,28.0,23.0,11.0,6.0,5.0,18.0,9.0,0.0,0.0,0.0,0.0,District
Chinaz district,24.0,30.0,25.0,29.0,29.0,16.0,8.0,14.0,13.0,9.0,3.0,0.0,0.0,0.0,District
Yangiyul district,64.0,76.0,52.0,36.0,42.0,35.0,21.0,19.0,15.0,8.0,1.0,0.0,0.0,0.0,District
