Names,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Category
Yunusabad district,14.0,62.0,57.0,29.0,24.0,29.0,21.0,17.0,21.0,22.0,1.0,2.0,0.0,0.0,District
Mirzo Ulugbek district,18.0,26.0,25.0,13.0,17.0,13.0,9.0,10.0,13.0,7.0,0.0,0.0,0.0,2.0,District
Mirabad district,8.0,16.0,10.0,11.0,11.0,11.0,5.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,District
Shaykhantakhur district,11.0,93.0,118.0,96.0,69.0,49.0,39.0,34.0,29.0,41.0,2.0,0.0,1.0,1.0,District
Almazar district,20.0,52.0,47.0,50.0,51.0,62.0,44.0,33.0,44.0,40.0,0.0,0.0,2.0,0.0,District
Sergeli district,10.0,30.0,23.0,5.0,24.0,27.0,17.0,16.0,27.0,12.0,0.0,0.0,0.0,0.0,District
Yakkasaray district,11.0,30.0,29.0,14.0,7.0,7.0,4.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,District
Yashnabad district,8.0,18.0,24.0,16.0,19.0,14.0,17.0,13.0,10.0,10.0,0.0,0.0,0.0,0.0,District
Yangikhayot district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,District
Chilanzar district,18.0,59.0,71.0,48.0,29.0,28.0,16.0,16.0,15.0,18.0,0.0,1.0,0.0,0.0,District
